#,Name,Origin,Format,Comments
408,ERR_NOSUCHSERVICE,RFC2812,<client> <service_name> :<reason>,Returned to a client which is attempting to send an SQUERY (or other message) to a service which does not exist
408,ERR_NOCOLORSONCHAN,Bahamut,,
408,ERR_NOCTRLSONCHAN,Hybrid,<client> <channel> :You cannot use control codes on this channel. Not sent: <text>,
409,ERR_NOORIGIN,RFC1459,<client> :<reason>,PING or PONG message missing the originator parameter which is required since these commands must work without valid prefixes
410,ERR_INVALIDCAPCMD,Undernet?,<client> <badcmd> :Invalid CAP subcommand,Returned when a client sends a CAP subcommand which is invalid or otherwise issues an invalid CAP command. Also known as ERR_INVALIDCAPSUBCOMMAND (InspIRCd) or ERR_UNKNOWNCAPCMD (ircu)
411,ERR_NORECIPIENT,RFC1459,<client> :<reason>,Returned when no recipient is given with a command
412,ERR_NOTEXTTOSEND,RFC1459,<client> :<reason>,Returned when NOTICE/PRIVMSG is used with no message given
413,ERR_NOTOPLEVEL,RFC1459,<client> <mask> :<reason>,Used when a message is being sent to a mask without being limited to a top-level domain (i.e. * instead of *.au)
414,ERR_WILDTOPLEVEL,RFC1459,<client> <mask> :<reason>,Used when a message is being sent to a mask with a wild-card for a top level domain (i.e. *.*)
415,ERR_BADMASK,RFC2812,<client> <mask> :<reason>,Used when a message is being sent to a mask with an invalid syntax
416,ERR_TOOMANYMATCHES,IRCnet,<client> <command> [<mask>] :<info>,"Returned when too many matches have been found for a command and the output has been truncated. An example would be the WHO command, where by the mask '*' would match everyone on the network! Ouch!"
416,ERR_QUERYTOOLONG,ircu,,Same as ERR_TOOMANYMATCHES
417,ERR_INPUTTOOLONG,ircu,,"Returned when an input line is longer than the server can process (512 bytes), to let the client know this line was dropped (rather than being truncated)"
419,ERR_LENGTHTRUNCATED,aircd,,
420,ERR_AMBIGUOUSCOMMAND,InspIRCd,<client> :Ambiguous abbreviation,Used by InspIRCd's m_abbreviation module
421,ERR_UNKNOWNCOMMAND,RFC1459,<client> <command> :<reason>,Returned when the given command is unknown to the server (or hidden because of lack of access rights)
422,ERR_NOMOTD,RFC1459,<client> :<reason>,Sent when there is no MOTD to send the client
423,ERR_NOADMININFO,RFC1459,<client> <server> :<reason>,"Returned by a server in response to an ADMIN request when no information is available. RFC1459 mentions this in the list of numerics. While it's not listed as a valid reply in section 4.3.7 ('Admin command'), it's confirmed to exist in the real world."
424,ERR_FILEERROR,RFC1459,<client> :<reason>,Generic error message used to report a failed file operation during the processing of a command
425,ERR_NOOPERMOTD,Unreal,,
429,ERR_TOOMANYAWAY,Bahamut,,
430,ERR_EVENTNICKCHANGE,AustHex,,Returned by NICK when the user is not allowed to change their nickname due to a channel event (channel mode +E)
431,ERR_NONICKNAMEGIVEN,RFC1459,<client> :<reason>,Returned when a nickname parameter expected for a command isn't found
432,ERR_ERRONEUSNICKNAME,RFC1459,<client> <nick> :<reason>,"Returned after receiving a NICK message which contains a nickname which is considered invalid, such as it's reserved ('anonymous') or contains characters considered invalid for nicknames. This numeric is misspelt, but remains with this name for historical reasons :)"
433,ERR_NICKNAMEINUSE,RFC1459,<client> <nick> :<reason>,Returned by the NICK command when the given nickname is already in use
434,ERR_SERVICENAMEINUSE,AustHex?,,
434,ERR_NORULES,"Unreal, Ultimate",,
435,ERR_SERVICECONFUSED,Unreal,,
435,ERR_BANONCHAN,Bahamut,,"Also known as ERR_BANNICKCHANGE (ratbox, charybdis)"
436,ERR_NICKCOLLISION,RFC1459,<nick> :<reason>,Returned by a server to a client when it detects a nickname collision
437,ERR_UNAVAILRESOURCE,RFC2812,<client> <nick/channel/service> :<reason>,"Return when the target is unable to be reached temporarily, eg. a delay mechanism in play, or a service being offline"
437,ERR_BANNICKCHANGE,ircu,,
438,ERR_NICKTOOFAST,ircu,,"Also known as ERR_NCHANGETOOFAST (Unreal, Ultimate)"
438,ERR_DEAD,IRCnet,,
439,ERR_TARGETTOOFAST,ircu,,"Also known as many other things, RPL_INVTOOFAST, RPL_MSGTOOFAST, ERR_TARGETTOFAST (Bahamut), etc"
440,ERR_SERVICESDOWN,"Bahamut, Unreal",,
441,ERR_USERNOTINCHANNEL,RFC1459,<client> <nick> <channel> :<reason>,Returned by the server to indicate that the target user of the command is not on the given channel
442,ERR_NOTONCHANNEL,RFC1459,<client> <channel> :<reason>,Returned by the server whenever a client tries to perform a channel effecting command for which the client is not a member
443,ERR_USERONCHANNEL,RFC1459,<client> <nick> <channel> [:<reason>],Returned when a client tries to invite a user to a channel they're already on
444,ERR_NOLOGIN,RFC1459,<client> <user> :<reason>,Returned by the SUMMON command if a given user was not logged in and could not be summoned
445,ERR_SUMMONDISABLED,RFC1459,<client> :<reason>,Returned by SUMMON when it has been disabled or not implemented
446,ERR_USERSDISABLED,RFC1459,<client> :<reason>,Returned by USERS when it has been disabled or not implemented
447,ERR_NONICKCHANGE,Unreal,,This numeric is called ERR_CANTCHANGENICK in InspIRCd
448,ERR_FORBIDDENCHANNEL,Unreal,<channel> :Channel is forbidden: <reason>,Returned when this channel name has been explicitly blocked and is not allowed to be used.
449,ERR_NOTIMPLEMENTED,Undernet,Unspecified,Returned when a requested feature is not implemented (and cannot be completed)
451,ERR_NOTREGISTERED,RFC1459,<client> :<reason>,Returned by the server to indicate that the client must be registered before the server will allow it to be parsed in detail
452,ERR_IDCOLLISION,,,
453,ERR_NICKLOST,,,
455,ERR_HOSTILENAME,Unreal,,
456,ERR_ACCEPTFULL,,,
457,ERR_ACCEPTEXIST,,,
458,ERR_ACCEPTNOT,,,
459,ERR_NOHIDING,Unreal,,Not allowed to become an invisible operator?
460,ERR_NOTFORHALFOPS,Unreal,,
461,ERR_NEEDMOREPARAMS,RFC1459,<client> <command> :<reason>,Returned by the server by any command which requires more parameters than the number of parameters given
462,ERR_ALREADYREGISTERED,RFC1459,<client> :<reason>,Returned by the server to any link which attempts to register again Also known as ERR_ALREADYREGISTRED (sic) in ratbox/charybdis.
463,ERR_NOPERMFORHOST,RFC1459,<client> :<reason>,"Returned to a client, which attempts to register with a server which has been configured to refuse connections from the client's host"
464,ERR_PASSWDMISMATCH,RFC1459,<client> :<reason>,Returned by the PASS command to indicate the given password was required and was either not given or was incorrect
465,ERR_YOUREBANNEDCREEP,RFC1459,<client> :<reason>,Returned to a client after an attempt to register on a server configured to ban connections from that client
466,ERR_YOUWILLBEBANNED,RFC1459,,Sent by a server to a user to inform that access to the server will soon be denied
467,ERR_KEYSET,RFC1459,<client> <channel> :<reason>,Returned when the channel key for a channel has already been set
468,ERR_INVALIDUSERNAME,ircu,,
468,ERR_ONLYSERVERSCANCHANGE,"Bahamut, Unreal",,
468,ERR_NOCODEPAGE,rusnet-ircd,,
469,ERR_LINKSET,Unreal,,
470,ERR_LINKCHANNEL,Unreal,,"Sent by a server to a user who tried to JOIN a channel, when they are forwarded to a different channel because they could not join the original one. The target channel is usually configured with +f (eg. Charybdis) or +L (eg. Unreal)"
470,ERR_KICKEDFROMCHAN,aircd,,
470,ERR_7BIT,rusnet-ircd,,
471,ERR_CHANNELISFULL,RFC1459,<client> <channel> :<reason>,Returned when attempting to join a channel which is set +l and is already full
472,ERR_UNKNOWNMODE,RFC1459,<client> <char> :<reason>,Returned when a given mode is unknown
473,ERR_INVITEONLYCHAN,RFC1459,<client> <channel> :<reason>,"Returned when attempting to join a channel, which is invite only without an invitation"
474,ERR_BANNEDFROMCHAN,RFC1459,<client> <channel> :<reason>,Returned when attempting to join a channel a user is banned from
475,ERR_BADCHANNELKEY,RFC1459,<client> <channel> :<reason>,Returned when attempting to join a key-locked channel either without a key or with the wrong key
476,ERR_BADCHANMASK,RFC2812,<client> <channel> :<reason>,The given channel mask was invalid
477,ERR_NOCHANMODES,RFC2812,<client> <channel> :<reason>,"Returned when attempting to set a mode on a channel, which does not support channel modes, or channel mode changes. Also known as ERR_MODELESS"
477,ERR_NEEDREGGEDNICK,"Bahamut, ircu, Unreal",,
478,ERR_BANLISTFULL,RFC2812,<client> <channel> [char] :<reason>,Returned when a channel access list (i.e. ban list etc) is full and cannot be added to
479,ERR_BADCHANNAME,Hybrid,<client> <channel> :<reason>,Returned to indicate that a given channel name is not valid. Servers that implement this use it instead of `ERR_NOSUCHCHANNEL` where appropriate.Also seeERR_NOSUCHCHANNEL (403).
479,ERR_LINKFAIL,Unreal,,
479,ERR_NOCOLOR,rusnet-ircd,,
480,ERR_NOULINE,AustHex,,
480,ERR_CANNOTKNOCK,Unreal,,
480,ERR_THROTTLE,Ratbox,<nick> <channel> :Cannot join channel,
480,ERR_SSLONLYCHAN,Hybrid,,Moved to 489 to match other servers.Also seeERR_SECUREONLYCHAN (489).
480,ERR_NOWALLOP,rusnet-ircd,,
481,ERR_NOPRIVILEGES,RFC1459,<client> :<reason>,Returned by any command requiring special privileges (eg. IRC operator) to indicate the operation was unsuccessful
482,ERR_CHANOPRIVSNEEDED,RFC1459,<client> <channel> :<reason>,"Returned by any command requiring special channel privileges (eg. channel operator) to indicate the operation was unsuccessful. InspIRCd also uses this numeric ""for other things like trying to kick a uline"""
483,ERR_CANTKILLSERVER,RFC1459,<client> :<reason>,Returned by KILL to anyone who tries to kill a server
484,ERR_RESTRICTED,RFC2812,<client> :<reason>,Sent by the server to a user upon connection to indicate the restricted nature of the connection (i.e. usermode +r)
484,ERR_ISCHANSERVICE,Undernet,,
484,ERR_DESYNC,"Bahamut, Hybrid, PTlink",,
484,ERR_ATTACKDENY,Unreal,,
485,ERR_UNIQOPRIVSNEEDED,RFC2812,<client> :<reason>,Any mode requiring 'channel creator' privileges returns this error if the client is attempting to use it while not a channel creator on the given channel
485,ERR_KILLDENY,Unreal,,
485,ERR_CANTKICKADMIN,PTlink,,
485,ERR_ISREALSERVICE,QuakeNet,,
485,ERR_CHANBANREASON,Hybrid,<client> <channel> :Cannot join channel (<reason>),
485,ERR_BANNEDNICK,Ratbox,,"Defined in header file, but never used."
486,ERR_NONONREG,Unreal?,,Also known as ERR_ACCOUNTONLY.
486,ERR_RLINED,rusnet-ircd,,
486,ERR_HTMDISABLED,Unreal,,Unreal 3.2 uses 488 as the ERR_HTMDISABLED numeric instead
487,ERR_CHANTOORECENT,IRCnet,,
487,ERR_MSGSERVICES,Bahamut,,
487,ERR_NOTFORUSERS,Unreal?,,
487,ERR_NONONSSL,ChatIRCd,<target user> :You must be connected using SSL/TLS to message this user,Used for user mode +t (caller ID for all users not using SSL/TLS).
488,ERR_TSLESSCHAN,IRCnet,,
488,ERR_HTMDISABLED,Unreal?,,
488,ERR_NOSSL,Bahamut,"<client> <channel> :SSL Only channel (+S), You must connect using SSL to join this channel.",
489,ERR_SECUREONLYCHAN,Unreal,,Also known as ERR_SSLONLYCHAN.
489,ERR_VOICENEEDED,Undernet,,
490,ERR_ALLMUSTSSL,InspIRCd,<client> <channel> :all members of the channel must be connected via SSL,
490,ERR_NOSWEAR,Unreal,<client> :<nick> does not accept private messages containing swearing.,
491,ERR_NOOPERHOST,RFC1459,<client> :<reason>,Returned by OPER to a client who cannot become an IRC operator because the server has been configured to disallow the client's host
492,ERR_NOSERVICEHOST,RFC1459,,
492,ERR_NOCTCP,Hybrid / Unreal?,<client> :You cannot send CTCPs to this channel. Not sent: <message>,"Notifies the user that a message they have sent to a channel has been rejected as it contains CTCPs, and they cannot send messages containing CTCPs to this channel. Also known as ERR_NOCTCPALLOWED (InspIRCd)."
492,ERR_CANNOTSENDTOUSER,Charybdis?,<client> :Cannot send to user <nick> (<reason>),
493,ERR_NOSHAREDCHAN,Bahamut,<client> :You cannot message that person because you do not share a common channel with them.,
493,ERR_NOFEATURE,ircu,,
494,ERR_BADFEATVALUE,ircu,,
494,ERR_OWNMODE,"Bahamut, charybdis?","<client> <nick> :cannot answer you while you are <mode>, your message was not sent",Used for mode +g (CALLERID) in charybdis.
495,ERR_BADLOGTYPE,ircu,,
495,ERR_DELAYREJOIN,InspIRCd 2.0,<channel> :You cannot rejoin this channel yet after being kicked (+J),"This numeric is marked as ""we should use 'resource temporarily unavailable' from ircnet/ratbox or whatever"". Removed in InspIRCd 3.0."
496,ERR_BADLOGSYS,ircu,,
497,ERR_BADLOGVALUE,ircu,,
498,ERR_ISOPERLCHAN,ircu,,
499,ERR_CHANOWNPRIVNEEDED,Unreal,,Works just like ERR_CHANOPRIVSNEEDED except it indicates that owner status (+q) is needed.Also seeERR_CHANOPRIVSNEEDED (482).
500,ERR_TOOMANYJOINS,Unreal?,<client> <string> :Too many join requests. Please wait a while and try again.,
500,ERR_NOREHASHPARAM,rusnet-ircd,,
500,ERR_CANNOTSETMODER,InspIRCd,<client> :Only a server may modify the +r user/channel mode,Returned by the server when a client tries to set MODE +r on a user or channel. This mode is set by services for registered users/channels.
501,ERR_UMODEUNKNOWNFLAG,RFC1459,<client> :<reason>,Returned by the server to indicate that a MODE message was sent with a nickname parameter and that the mode flag sent was not recognised.
501,ERR_UNKNOWNSNOMASK,InspIRCd,<client> <snomask> :is unknown mode char to me,
502,ERR_USERSDONTMATCH,RFC1459,<client> :<reason>,Error sent to any user trying to view or change the user mode for a user other than themselves
503,ERR_GHOSTEDCLIENT,Hybrid,<client> :Message could not be delivered to <target>,
503,ERR_VWORLDWARN,AustHex,<client> :<warning_text>,Warning about Virtual-World being turned off. Obsoleted in favor for RPL_MODECHANGEWARNAlso seeRPL_MODECHANGEWARN (662).
504,ERR_USERNOTONSERV,,,
511,ERR_SILELISTFULL,ircu,,
512,ERR_TOOMANYWATCH,Bahamut,,"Also known as ERR_NOTIFYFULL (aircd), I presume they are the same"
512,ERR_NOSUCHGLINE,ircu,,
513,ERR_BADPING,ircu,,"Also known as ERR_NEEDPONG (Unreal/Ultimate) for use during registration, however it is not used in Unreal (and might not be used in Ultimate either). Also known as ERR_WRONGPONG (Ratbox/charybdis)"
514,ERR_TOOMANYDCC,Bahamut,,
514,ERR_NOSUCHJUPE,irch,,
514,ERR_INVALID_ERROR,ircu,,
515,ERR_BADEXPIRE,ircu,,
516,ERR_DONTCHEAT,ircu,,
517,ERR_DISABLED,ircu,<client> <command> :<info/reason>,
518,ERR_NOINVITE,Unreal,,
518,ERR_LONGMASK,ircu,,
519,ERR_ADMONLY,Unreal,,
519,ERR_TOOMANYUSERS,ircu,,
520,ERR_OPERONLY,Unreal,:Cannot join channel (+O),Also known as ERR_OPERONLYCHAN (Hybrid) and ERR_CANTJOINOPERSONLY (InspIRCd).
520,ERR_MASKTOOWIDE,ircu,,
520,ERR_WHOTRUNC,AustHex,,"This is considered obsolete in favor of ERR_TOOMANYMATCHES, and should no longer be used.Also seeERR_TOOMANYMATCHES (416)."
521,ERR_LISTSYNTAX,Bahamut,,
521,ERR_NOSUCHGLINE,Nefarious,,
522,ERR_WHOSYNTAX,Bahamut,,
523,ERR_WHOLIMEXCEED,Bahamut,<limit> :<command> search limit exceeded.,
524,ERR_QUARANTINED,ircu,,
524,ERR_OPERSPVERIFY,Unreal,,
524,ERR_HELPNOTFOUND,Hybrid,<term> :Help not found,
525,ERR_INVALIDKEY,ircu,,
525,ERR_REMOTEPFX,CAPAB USERCMDPFX,<nickname> :<reason>,Proposed.
526,ERR_PFXUNROUTABLE,CAPAB USERCMDPFX,<nickname> :<reason>,Proposed.
531,ERR_CANTSENDTOUSER,InspIRCd,<client> <nick> :You are not permitted to send private messages to this user,
550,ERR_BADHOSTMASK,QuakeNet,,
551,ERR_HOSTUNAVAIL,QuakeNet,,
552,ERR_USINGSLINE,QuakeNet,,
553,ERR_STATSSLINE,QuakeNet,,
560,ERR_NOTLOWEROPLEVEL,ircu,,
561,ERR_NOTMANAGER,ircu,,
562,ERR_CHANSECURED,ircu,,
563,ERR_UPASSSET,ircu,,
564,ERR_UPASSNOTSET,ircu,,
566,ERR_NOMANAGER,ircu,,
567,ERR_UPASS_SAME_APASS,ircu,,
568,ERR_LASTERROR,ircu,,
568,RPL_NOOMOTD,Nefarious,,
569,RPL_WHOISASN,InspIRCd,<client> <nick> 64496 :is connecting from AS64496 [Example Corp],Used by InspIRCd's m_asn module.
597,RPL_REAWAY,Unreal,,
598,RPL_GONEAWAY,Unreal,,"Used when adding users to their `""WATCH""` list."
599,RPL_NOTAWAY,Unreal,,"Used when adding users to their `""WATCH""` list."
600,RPL_LOGON,"Bahamut, Unreal",,
601,RPL_LOGOFF,"Bahamut, Unreal",,
602,RPL_WATCHOFF,"Bahamut, Unreal",,
603,RPL_WATCHSTAT,"Bahamut, Unreal",,
604,RPL_NOWON,"Bahamut, Unreal",,
605,RPL_NOWOFF,"Bahamut, Unreal",,
606,RPL_WATCHLIST,"Bahamut, Unreal",,
607,RPL_ENDOFWATCHLIST,"Bahamut, Unreal",,
608,RPL_WATCHCLEAR,Ultimate,,Also known as RPL_CLEARWATCH in Unreal
609,RPL_NOWISAWAY,Unreal,,"Returned when adding users to their `""WATCH""` list."
610,RPL_MAPMORE,Unreal,,
610,RPL_ISOPER,Ultimate,,
611,RPL_ISLOCOP,Ultimate,,
612,RPL_ISNOTOPER,Ultimate,,
613,RPL_ENDOFISOPER,Ultimate,,
615,RPL_MAPMORE,PTlink,,
615,RPL_WHOISMODES,Ultimate,,
616,RPL_WHOISHOST,Ultimate,,
617,RPL_WHOISSSLFP,Nefarious,<client> <nick> :has client certificate fingerprint <fingerprint>,Also seeRPL_WHOISCERTFP (276).
617,RPL_DCCSTATUS,Bahamut,,
617,RPL_WHOISBOT,Ultimate,,
618,RPL_DCCLIST,Bahamut,,
619,RPL_ENDOFDCCLIST,Bahamut,,
619,RPL_WHOWASHOST,Ultimate,,
620,RPL_DCCINFO,Bahamut,,
620,RPL_RULESSTART,Ultimate,,
621,RPL_RULES,Ultimate,,
622,RPL_ENDOFRULES,Ultimate,,
623,RPL_MAPMORE,Ultimate,,
624,RPL_OMOTDSTART,Ultimate,,
625,RPL_OMOTD,Ultimate,,
626,RPL_ENDOFOMOTD,Ultimate,,
630,RPL_SETTINGS,Ultimate,,
631,RPL_ENDOFSETTINGS,Ultimate,,
640,RPL_DUMPING,Unreal,,Never actually used by Unreal - was defined however the feature that would have used this numeric was never created.
641,RPL_DUMPRPL,Unreal,,Never actually used by Unreal - was defined however the feature that would have used this numeric was never created.
642,RPL_EODUMP,Unreal,,Never actually used by Unreal - was defined however the feature that would have used this numeric was never created.
650,RPL_SYNTAX,InspIRCd 3.0,<client> <command> :<syntax>,Sent when the user does not provide enough parameters for a command.
651,RPL_CHANNELSMSG,InspIRCd 3.0,<client> <nick> :is on private/secret channels:,
652,RPL_WHOWASIP,InspIRCd 3.0,<client> <nick> :was connecting from <host>,
653,RPL_UNINVITED,InspIRCd 3.0,<client> :You were uninvited from <chan> by <nick>,
659,RPL_SPAMCMDFWD,Unreal,"<client> <command> :Command processed, but a copy has been sent to ircops for evaluation (anti-spam) purposes. [<reason>]",Used to let a client know that a copy of their command has been passed to operators and the reason for it.
670,RPL_STARTTLS,IRCv3,"<client> :STARTTLS successful, proceed with TLS handshake",Indicates that the client may begin the TLS handshake
671,RPL_WHOISSECURE,Unreal,<client> <nick> :is using a secure connection,The text in the last parameter may change. Also known as RPL_WHOISSSL (Nefarious).
672,RPL_UNKNOWNMODES,Ithildin,<modes> :<info>,Returns a full list of modes that are unknown when a client issues a MODE command (rather than one numeric per mode)
672,RPL_WHOISREALIP,Rizon,<client> <nick> :is actually from <ip>,"Returns the real IP address of a client connected from a CGIIRC host, this has the real IP address of the client. This message is only sent to themselves or to IRC operators who perform a WHOIS on the user."
673,RPL_CANNOTSETMODES,Ithildin,<modes> :<info>,Returns a full list of modes that cannot be set when a client issues a MODE command
674,RPL_WHOISYOURID,ChatIRCd,<client> :EUID is <euid>,Used to display the user's TS6 UID in WHOIS.
690,ERR_REDIRECT,InspIRCd,<client> :Target channel #chan must exist to be set as a redirect,Indicates an error when setting a channel redirect (MODE +L) or using the banredirect module
691,ERR_STARTTLS,IRCv3,<client> :STARTTLS failed (Wrong moon phase),Indicates that a server-side error has occurred
696,ERR_INVALIDMODEPARAM,InspIRCd 3.0,<client> <target chan/user> <mode char> <parameter> :<description>,Indicates that there was a problem with a mode parameter. Replaces various non-standard mode specific numerics.
697,ERR_LISTMODEALREADYSET,InspIRCd 3.0,<client> <target chan> <parameter> <mode char> :<description>,Indicates that the user tried to set a list mode which is already set. Replaces various non-standard mode specific numerics.
698,ERR_LISTMODENOTSET,InspIRCd 3.0,<client> <target chan> <parameter> <mode char> :<description>,Indicates that the user tried to unset a list mode which is not set. Replaces various non-standard mode specific numerics.
700,RPL_COMMANDS,InspIRCd 3.0,<client> :<command> <module name> <minimum parameters> <penalty>,
701,RPL_COMMANDSEND,InspIRCd 3.0,<client> :End of COMMANDS list,
702,RPL_MODLIST,RatBox,<?> 0x<?> <?> <?>,Output from the MODLIST command
702,RPL_COMMANDS,InspIRCd 2.0,<client> :<command> <module name> <minimum parameters>,Moved to 700 in InspIRCd 3.0
703,RPL_ENDOFMODLIST,RatBox,<client> :<text>,Terminates MODLIST output
703,RPL_COMMANDSEND,InspIRCd 2.0,<client> :End of COMMANDS list,Moved to 701 in InspIRCd 3.0
704,RPL_HELPSTART,RatBox,<client> <command> :<text>,Start of HELP command output
705,RPL_HELPTXT,RatBox,<client> <command> :<text>,Output from HELP command
706,RPL_ENDOFHELP,RatBox,<client> <command> :<text>,End of HELP command output
707,ERR_TARGCHANGE,RatBox,"<client> <target> :Targets changing too fast, message dropped",See doc/tgchange.txt in the charybdis source.
708,RPL_ETRACEFULL,RatBox,<client> <Oper|User> <class> <nick> <username> <host> <ip> :<capabilities>,Output from 'extended' trace
709,RPL_ETRACE,RatBox,<client> <Oper|User> <?> <nick> <username> <host> :<ip>,Output from 'extended' trace
710,RPL_KNOCK,RatBox,<client> <channel> <nick>!<user>@<host> :<text>,Message delivered using KNOCK command
711,RPL_KNOCKDLVR,RatBox,<client> <channel> :<text>,Message returned from using KNOCK command (KNOCK delivered)
712,ERR_TOOMANYKNOCK,RatBox,<client> <channel> :<text>,Message returned when too many KNOCKs for a channel have been sent by a user
713,ERR_CHANOPEN,RatBox,<client> <channel> :<text>,Message returned from KNOCK when the channel can be freely joined by the user
714,ERR_KNOCKONCHAN,RatBox,<client> <channel> :<text>,Message returned from KNOCK when the user has used KNOCK on a channel they have already joined
715,ERR_KNOCKDISABLED,RatBox,<client> :<text>,Returned from KNOCK when the command has been disabled
715,ERR_TOOMANYINVITE,Hybrid,<client> <channel> :Too many INVITEs (<channel/user>).,"Sent to indicate an INVITE has been blocked. The last parameter is the literal string ""channel"" if this is because the channel has had too many INVITEs in a given time, and ""user"" if this is because the user has sent too many INVITEs in a given time"
715,RPL_INVITETHROTTLE,Rizon,"<client> <nick> <channel> :You are inviting too fast, invite to <nick> for <channel> not sent.",Sent to indicate an INVITE has been blocked.
716,RPL_TARGUMODEG,RatBox,<nick> :<info>,"Sent to indicate the given target is set +g (server-side ignore) Mentioned as RPL_TARGUMODEG in the CALLERID spec, ERR_TARGUMODEG in the ratbox/charybdis implementations."
717,RPL_TARGNOTIFY,RatBox,<nick> :<info>,Sent following a PRIVMSG/NOTICE to indicate the target has been notified of an attempt to talk to them while they are set +g
718,RPL_UMODEGMSG,RatBox,<client> <nick> <user>@<host> :<info>,"Sent to a user who is +g to inform them that someone has attempted to talk to them (via PRIVMSG/NOTICE), and that they will need to be accepted (via the ACCEPT command) before being able to talk to them"
720,RPL_OMOTDSTART,RatBox,<client> :<text>,"IRC Operator MOTD header, sent upon OPER command"
721,RPL_OMOTD,RatBox,<client> :<text>,"IRC Operator MOTD text (repeated, usually)"
722,RPL_ENDOFOMOTD,RatBox,<client> :<text>,IRC operator MOTD footer
723,ERR_NOPRIVS,RatBox,<client> <command> :<text>,Returned from an oper command when the IRC operator does not have the relevant operator privileges.
724,RPL_TESTMASK,RatBox,<client> <nick>!<user>@<host> <?> <?> :<text>,Reply from an oper command reporting how many users match a given user@host mask
725,RPL_TESTLINE,RatBox,<client> <?> <?> <?> :<?>,Reply from an oper command reporting relevant I/K lines that will match a given user@host
726,RPL_NOTESTLINE,RatBox,<client> <?> :<text>,Reply from oper command reporting no I/K lines match the given user@host
727,RPL_TESTMASKGECOS,RatBox,<client> <lcount> <gcount> <nick>!<user>@<host> <gecos> :Local/remote clients match,"From the m_testmask module, ""Shows the number of matching local and global clients for a user@host mask"""
728,RPL_QUIETLIST,Charybdis,<client> <channel> q <banid> [<time_left> :<reason>],"Same thing as RPL_BANLIST, but for mode +q (quiet)"
729,RPL_ENDOFQUIETLIST,Charybdis,<client> <channel> q :<info>,"Same thing as RPL_ENDOFBANLIST, but for mode +q (quiet)"
730,RPL_MONONLINE,RatBox,"<client> :target[!user@host][,target[!user@host]]*","Used to indicate to a client that either a target has just become online, or that a target they have added to their monitor list is online"
731,RPL_MONOFFLINE,RatBox,"<client> :target[,target2]*","Used to indicate to a client that either a target has just left the IRC network, or that a target they have added to their monitor list is offline"
732,RPL_MONLIST,RatBox,"<client> :target[,target2]*",Used to indicate to a client the list of targets they have in their monitor list
733,RPL_ENDOFMONLIST,RatBox,<client> :End of MONITOR list,Used to indicate to a client the end of a monitor list
734,ERR_MONLISTFULL,RatBox,<client> <limit> <targets> :Monitor list is full.,"Used to indicate to a client that their monitor list is full, so the MONITOR command failed"
740,RPL_RSACHALLENGE2,RatBox,<client> :<chal_line>,"From the ratbox m_challenge module, to auth opers."
741,RPL_ENDOFRSACHALLENGE2,RatBox,<client> :End of CHALLENGE,"From the ratbox m_challenge module, to auth opers."
742,ERR_MLOCKRESTRICTED,Charybdis,<client> <channel> <modechar> <mlock> :MODE cannot be set due to channel having an active MLOCK restriction policy,"InspIRCd 2.0 doesn't send the <client> parameter, while 3.0 does"
743,ERR_INVALIDBAN,Charybdis,<channel> <modechar> <mask> :Invalid ban mask,
744,ERR_TOPICLOCK,InspIRCd?,,"Defined in the Charybdis source code with the comment `""/* inspircd */""`"
750,RPL_SCANMATCHED,RatBox,<count> :matches,From the ratbox m_scan module.
751,RPL_SCANUMODES,RatBox,<nick> <username> <host> <sockhost> <servname> <umodes> :<info>,From the ratbox m_scan module.
759,RPL_ETRACEEND,irc2.11,,
760,RPL_WHOISKEYVALUE,IRCv3,<Target> <Key> <Visibility> :<Value>,Reply to WHOIS - Metadata key/value associated with the target
761,RPL_KEYVALUE,IRCv3,<Target> <Key> <Visibility>[ :<Value>],"Returned to show a currently set metadata key and its value, or a metadata key that has been cleared if no value is present in the response"
762,RPL_METADATAEND,IRCv3,:end of metadata,Indicates the end of a list of metadata keys
764,ERR_METADATALIMIT,IRCv3,<Target> :metadata limit reached,"Used to indicate to a client that their metadata store is full, and they cannot add the requested key(s)"
765,ERR_TARGETINVALID,IRCv3,<Target> :invalid metadata target,Indicates to a client that the target of a sent METADATA command is invalid
766,ERR_NOMATCHINGKEY,IRCv3,<Key> :no matching key,Indicates to a client that the requested metadata key does not exist
767,ERR_KEYINVALID,IRCv3,<Key> :invalid metadata key,Indicates to a client that the requested metadata key is not valid
768,ERR_KEYNOTSET,IRCv3,<Target> <Key> :key not set,Indicates to a client that the metadata key they requested to clear is not already set
769,ERR_KEYNOPERMISSION,IRCv3,<Target> <Key> :permission denied,Indicates to a client that they do not have permission to set the requested metadata key
771,RPL_XINFO,Ithildin,,"Used to send 'eXtended info' to the client, a replacement for the STATS command to send a large variety of data and minimize numeric pollution."
773,RPL_XINFOSTART,Ithildin,,Start of an RPL_XINFO list
774,RPL_XINFOEND,Ithildin,,Termination of an RPL_XINFO list
801,RPL_STATSCOUNTRY,InspIRCd 3.0,<count> <code> :<country>,Used by the m_geoclass module of InspIRCd.
802,RPL_CHECK,InspIRCd 3.0,,Used by the m_check module of InspIRCd.
803,RPL_OTHERUMODEIS,InspIRCd 3.0,<client> <nick> <user modes> <user mode parameters>,Similar to RPL_UMODEIS but used when an oper views the mode of another user.
